,geo,text,user,location,Subject,state
909,," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…",PeabsLord,"New York, USA",Donald Trump,New York
910,," Philly DA Throws Down Over Trump Poll Watchers: We Won't Be Cowed By A 'Despot'. “Break the law here, and I’ve got somet…",Beto4US,Texas,Donald Trump,Texas
912,, Donald Trump is something much worse than an apparent sociopath or psychopath. He is man without a personal life narrat…,CheviotCourt,"Washington, DC",Donald Trump,Washington
918,,Former NFL Quarterback Jay Cutler Shares Jack Nicklaus’ Endorsement Of President Trump  via ,shrstraker,"Florida, USA",Donald Trump,Florida
923,," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…",aeharris2017,"Michigan, USA",Donald Trump,Michigan
927,," “This is why we, two Orthodox American-Israelis and former IDF soldiers who care deeply about Israel’s safety, will be vot…",ArmyMcCarthy,"Texas, USA",Donald Trump,Texas
931,," No one deserves a more thorough drubbing on Election Day than Donald Trump.Well, maybe Lindsey Graham does,&amp; Mitch McC…",swinging_volley,"Dobbs Ferry, NY, USA",Donald Trump,New York
935,," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…",mwamsley5,Ohio,Donald Trump,Ohio
942,," Philly DA Throws Down Over Trump Poll Watchers: We Won't Be Cowed By A 'Despot'. “Break the law here, and I’ve got somet…",Sissymoon1956Ce,"Washington, USA",Donald Trump,Washington
943,," Donald Trump, Boris Johnson and Peter Dutton have all had COVID-19. Has any one of them come out and said; “This is a hor…",Stevens18Clint,"Coronaville, SC",Donald Trump,South Carolina
944,," I did NOT fight cancer twice and win, battle Lupus every day to live through 4 more years of Donald Trump.He will DEST…",LOYALFAN1,"Connecticut, USA",Donald Trump,Connecticut
945,, Unraveling Lindsey Graham takes bizarre shot at Trump ,annita_bowman,"Oregon, USA",Donald Trump,Oregon
